Timestamp,Trend Flags,Status,Value (kW)
07-Jan-25 4:15:01 PM WEST,{ },{ok},5.2
07-Jan-25 4:30:01 PM WEST,{ },{ok},5.2
07-Jan-25 4:45:01 PM WEST,{ },{ok},5.2
07-Jan-25 5:00:01 PM WEST,{ },{ok},7.2
07-Jan-25 5:15:01 PM WEST,{ },{ok},5.3
07-Jan-25 5:30:01 PM WEST,{ },{ok},7.4
07-Jan-25 5:45:00 PM WEST,{ },{ok},5.4
07-Jan-25 6:00:01 PM WEST,{ },{ok},5.3
07-Jan-25 6:15:01 PM WEST,{ },{ok},5.3
07-Jan-25 6:30:02 PM WEST,{ },{ok},5.2
07-Jan-25 6:45:01 PM WEST,{ },{ok},5.1
07-Jan-25 7:00:01 PM WEST,{ },{ok},5.1
07-Jan-25 7:15:01 PM WEST,{ },{ok},0.3
07-Jan-25 7:30:01 PM WEST,{ },{ok},0.3
07-Jan-25 7:45:01 PM WEST,{ },{ok},0.3
07-Jan-25 8:00:01 PM WEST,{ },{ok},2.4
07-Jan-25 8:15:01 PM WEST,{ },{ok},5.2
07-Jan-25 8:30:02 PM WEST,{ },{ok},3.1
07-Jan-25 8:45:01 PM WEST,{ },{ok},0.3
07-Jan-25 9:00:01 PM WEST,{ },{ok},2.7
07-Jan-25 9:15:01 PM WEST,{ },{ok},3.0
07-Jan-25 9:30:01 PM WEST,{ },{ok},3.0
07-Jan-25 9:45:01 PM WEST,{ },{ok},0.3
07-Jan-25 10:00:01 PM WEST,{ },{ok},0.3
07-Jan-25 10:15:01 PM WEST,{ },{ok},2.6
07-Jan-25 10:30:01 PM WEST,{ },{ok},0.3
07-Jan-25 10:45:01 PM WEST,{ },{ok},2.8
07-Jan-25 11:00:01 PM WEST,{ },{ok},3.0
07-Jan-25 11:15:01 PM WEST,{ },{ok},3.0
07-Jan-25 11:30:01 PM WEST,{ },{ok},0.3
07-Jan-25 11:45:01 PM WEST,{ },{ok},0.3
08-Jan-25 12:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 12:15:00 AM WEST,{ },{ok},2.8
08-Jan-25 12:30:02 AM WEST,{ },{ok},3.1
08-Jan-25 12:45:02 AM WEST,{ },{ok},3.0
08-Jan-25 1:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 1:15:01 AM WEST,{ },{ok},0.3
08-Jan-25 1:30:01 AM WEST,{ },{ok},0.3
08-Jan-25 1:45:01 AM WEST,{ },{ok},2.7
08-Jan-25 2:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 2:15:01 AM WEST,{ },{ok},0.3
08-Jan-25 2:30:01 AM WEST,{ },{ok},0.3
08-Jan-25 2:45:01 AM WEST,{ },{ok},0.8
08-Jan-25 3:00:01 AM WEST,{ },{ok},2.7
08-Jan-25 3:15:00 AM WEST,{ },{ok},0.3
08-Jan-25 3:30:01 AM WEST,{ },{ok},0.3
08-Jan-25 3:45:02 AM WEST,{ },{ok},2.6
08-Jan-25 4:00:00 AM WEST,{ },{ok},4.9
08-Jan-25 4:15:01 AM WEST,{ },{ok},0.3
08-Jan-25 4:30:01 AM WEST,{ },{ok},0.3
08-Jan-25 4:45:01 AM WEST,{ },{ok},4.9
08-Jan-25 5:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 5:15:01 AM WEST,{ },{ok},0.3
08-Jan-25 5:30:00 AM WEST,{ },{ok},4.9
08-Jan-25 5:45:01 AM WEST,{ },{ok},0.3
08-Jan-25 6:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 6:15:01 AM WEST,{ },{ok},4.9
08-Jan-25 6:30:01 AM WEST,{ },{ok},0.3
08-Jan-25 6:45:01 AM WEST,{ },{ok},5.1
08-Jan-25 7:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 7:15:01 AM WEST,{ },{ok},0.3
08-Jan-25 7:30:01 AM WEST,{ },{ok},3.0
08-Jan-25 7:45:01 AM WEST,{ },{ok},3.0
08-Jan-25 8:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 8:15:01 AM WEST,{ },{ok},0.3
08-Jan-25 8:30:01 AM WEST,{ },{ok},2.6
08-Jan-25 8:45:01 AM WEST,{ },{ok},0.3
08-Jan-25 9:00:01 AM WEST,{ },{ok},0.3
08-Jan-25 9:15:01 AM WEST,{ },{ok},5.2
08-Jan-25 9:30:02 AM WEST,{ },{ok},3.0
08-Jan-25 9:45:01 AM WEST,{ },{ok},3.0
08-Jan-25 10:00:00 AM WEST,{ },{ok},0.3
08-Jan-25 10:15:00 AM WEST,{ },{ok},0.3
08-Jan-25 10:30:01 AM WEST,{ },{ok},0.3
08-Jan-25 10:45:01 AM WEST,{ },{ok},0.3
08-Jan-25 11:00:00 AM WEST,{ },{ok},3.4
08-Jan-25 11:15:01 AM WEST,{ },{ok},3.2
08-Jan-25 11:30:02 AM WEST,{ },{ok},0.3
08-Jan-25 11:45:01 AM WEST,{ },{ok},3.0
08-Jan-25 12:00:01 PM WEST,{ },{ok},0.3
08-Jan-25 12:15:01 PM WEST,{ },{ok},5.9
08-Jan-25 12:30:01 PM WEST,{ },{ok},3.4
08-Jan-25 12:45:02 PM WEST,{ },{ok},0.3
08-Jan-25 1:00:02 PM WEST,{ },{ok},2.7
08-Jan-25 1:15:01 PM WEST,{ },{ok},6.0
08-Jan-25 1:30:00 PM WEST,{ },{ok},3.5
08-Jan-25 1:45:01 PM WEST,{ },{ok},0.3
08-Jan-25 2:00:01 PM WEST,{ },{ok},0.3
08-Jan-25 2:15:02 PM WEST,{ },{ok},2.8
08-Jan-25 2:30:03 PM WEST,{ },{ok},0.3
08-Jan-25 2:45:01 PM WEST,{ },{ok},5.3
08-Jan-25 3:00:01 PM WEST,{ },{ok},5.5
08-Jan-25 3:15:04 PM WEST,{ },{ok},0.3
08-Jan-25 3:30:01 PM WEST,{ },{ok},0.3
08-Jan-25 3:45:01 PM WEST,{ },{ok},2.7
08-Jan-25 4:00:00 PM WEST,{ },{ok},5.3
08-Jan-25 4:15:01 PM WEST,{ },{ok},5.4
08-Jan-25 4:30:01 PM WEST,{ },{ok},0.7
08-Jan-25 4:45:00 PM WEST,{ },{ok},0.3
08-Jan-25 5:00:00 PM WEST,{ },{ok},0.3
08-Jan-25 5:15:01 PM WEST,{ },{ok},0.3
08-Jan-25 5:30:00 PM WEST,{ },{ok},0.3
08-Jan-25 5:45:01 PM WEST,{ },{ok},0.3
08-Jan-25 6:00:01 PM WEST,{ },{ok},3.7
08-Jan-25 6:15:00 PM WEST,{ },{ok},5.2
08-Jan-25 6:30:00 PM WEST,{ },{ok},5.2
08-Jan-25 6:45:00 PM WEST,{ },{ok},5.2
08-Jan-25 7:00:01 PM WEST,{ },{ok},0.3
08-Jan-25 7:15:01 PM WEST,{ },{ok},0.3
08-Jan-25 7:30:00 PM WEST,{ },{ok},0.3
08-Jan-25 7:45:01 PM WEST,{ },{ok},2.7
08-Jan-25 8:00:01 PM WEST,{ },{ok},5.1
08-Jan-25 8:15:01 PM WEST,{ },{ok},5.0
08-Jan-25 8:30:01 PM WEST,{ },{ok},3.1
08-Jan-25 8:45:00 PM WEST,{ },{ok},0.3
08-Jan-25 9:00:00 PM WEST,{ },{ok},0.3
08-Jan-25 9:15:01 PM WEST,{ },{ok},2.4
08-Jan-25 9:30:00 PM WEST,{ },{ok},7.2
08-Jan-25 9:45:00 PM WEST,{ },{ok},3.0
08-Jan-25 10:00:00 PM WEST,{ },{ok},0.3
08-Jan-25 10:15:00 PM WEST,{ },{ok},0.3
08-Jan-25 10:30:00 PM WEST,{ },{ok},2.7
08-Jan-25 10:45:00 PM WEST,{ },{ok},0.3
08-Jan-25 11:00:00 PM WEST,{ },{ok},5.2
08-Jan-25 11:15:00 PM WEST,{ },{ok},5.3
08-Jan-25 11:30:00 PM WEST,{ },{ok},3.0
08-Jan-25 11:45:01 PM WEST,{ },{ok},0.3
09-Jan-25 12:00:00 AM WEST,{ },{ok},0.3
09-Jan-25 12:15:00 AM WEST,{ },{ok},0.3
09-Jan-25 12:30:01 AM WEST,{ },{ok},0.3
09-Jan-25 12:45:00 AM WEST,{ },{ok},7.3
09-Jan-25 1:00:00 AM WEST,{ },{ok},3.0
09-Jan-25 1:15:00 AM WEST,{ },{ok},2.2
09-Jan-25 1:30:00 AM WEST,{ },{ok},2.7
09-Jan-25 1:45:00 AM WEST,{ },{ok},0.3
09-Jan-25 2:00:01 AM WEST,{ },{ok},0.3
09-Jan-25 2:15:01 AM WEST,{ },{ok},4.7
09-Jan-25 2:30:00 AM WEST,{ },{ok},5.1
09-Jan-25 2:45:00 AM WEST,{ },{ok},5.0
09-Jan-25 3:00:00 AM WEST,{ },{ok},0.3
09-Jan-25 3:15:00 AM WEST,{ },{ok},0.3
09-Jan-25 3:30:00 AM WEST,{ },{ok},5.2
09-Jan-25 3:45:00 AM WEST,{ },{ok},0.3
09-Jan-25 4:00:00 AM WEST,{ },{ok},0.3
09-Jan-25 4:15:01 AM WEST,{ },{ok},0.3
09-Jan-25 4:30:01 AM WEST,{ },{ok},7.0
09-Jan-25 4:45:01 AM WEST,{ },{ok},0.3
09-Jan-25 5:00:00 AM WEST,{ },{ok},0.3
09-Jan-25 5:15:01 AM WEST,{ },{ok},5.0
09-Jan-25 5:30:00 AM WEST,{ },{ok},0.3
09-Jan-25 5:45:01 AM WEST,{ },{ok},2.3
09-Jan-25 6:00:01 AM WEST,{ },{ok},5.0
09-Jan-25 6:15:00 AM WEST,{ },{ok},0.3
09-Jan-25 6:30:01 AM WEST,{ },{ok},2.4
