Timestamp;Trend Flags;Status;Value
25-Feb-25 2:36:10 AM WET;{ };{down};Ouverte
25-Feb-25 2:52:14 AM WET;{ };{ok};Ouverte
25-Feb-25 2:54:47 AM WET;{ };{down};Ouverte
25-Feb-25 3:42:43 AM WET;{ };{ok};Ouverte
25-Feb-25 3:49:26 AM WET;{ };{down};Ouverte
25-Feb-25 4:05:14 AM WET;{ };{ok};Ouverte
25-Feb-25 4:19:45 AM WET;{ };{ok};Fermé
26-Feb-25 2:16:39 AM WET;{ };{down};Fermé
26-Feb-25 2:21:45 AM WET;{ };{ok};Fermé
28-Feb-25 1:52:55 AM WET;{ };{down};Fermé
28-Feb-25 1:58:01 AM WET;{ };{ok};Fermé
02-Mar-25 11:09:56 AM WET;{ };{ok};Ouverte
02-Mar-25 11:34:16 AM WET;{ };{ok};Fermé
02-Mar-25 11:34:41 AM WET;{ };{ok};Ouverte
02-Mar-25 11:39:40 AM WET;{ };{ok};Fermé
05-Mar-25 1:36:38 PM WET;{ };{ok};Ouverte
05-Mar-25 1:51:34 PM WET;{ };{ok};Fermé
06-Mar-25 1:38:27 PM WET;{ };{ok};Ouverte
06-Mar-25 1:51:22 PM WET;{ };{ok};Fermé
19-Mar-25 12:47:38 AM WET;{ };{down};Fermé
19-Mar-25 1:03:42 AM WET;{ };{ok};Fermé
09-Apr-25 3:23:38 PM WEST;{start};{ok};Fermé
10-Apr-25 10:54:28 AM WEST;{ };{ok};Ouverte
10-Apr-25 10:57:30 AM WEST;{ };{ok};Fermé
11-Apr-25 1:55:14 AM WEST;{ };{down};Fermé
11-Apr-25 2:00:15 AM WEST;{ };{ok};Fermé
13-Apr-25 7:05:42 PM WEST;{start};{ok};Fermé
17-Apr-25 11:42:30 AM WEST;{ };{ok};Ouverte
17-Apr-25 11:42:35 AM WEST;{ };{ok};Fermé
17-Apr-25 11:42:36 AM WEST;{ };{ok};Ouverte
17-Apr-25 11:44:56 AM WEST;{ };{down};Ouverte
17-Apr-25 12:38:13 PM WEST;{ };{ok};Ouverte
17-Apr-25 12:38:14 PM WEST;{ };{ok};Fermé
21-Apr-25 11:21:54 AM WEST;{ };{ok};Ouverte
21-Apr-25 12:24:54 PM WEST;{ };{ok};Fermé
21-Apr-25 1:36:09 PM WEST;{ };{ok};Ouverte
21-Apr-25 1:42:03 PM WEST;{ };{ok};Fermé
23-Apr-25 11:10:54 AM WEST;{start};{ok};Fermé
20-May-25 8:01:32 AM WEST;{start};{ok};Fermé
20-May-25 10:15:12 PM WEST;{ };{ok};Ouverte
20-May-25 10:16:31 PM WEST;{ };{ok};Fermé
21-May-25 1:05:56 PM WEST;{ };{ok};Ouverte
21-May-25 1:08:21 PM WEST;{ };{ok};Fermé
23-May-25 1:37:23 PM WEST;{ };{ok};Ouverte
23-May-25 1:48:18 PM WEST;{ };{ok};Fermé
23-May-25 1:55:50 PM WEST;{ };{ok};Ouverte
23-May-25 2:02:02 PM WEST;{ };{ok};Fermé
