history:GTC_Multisite_Inwi/BGU-ONE Active Power Clim;;;
;;;
Timestamp;Trend Flags;Status;Value (kW)
25-Dec-24 4:00:00 AM WEST;{ };{ok};0.3
25-Dec-24 4:15:00 AM WEST;{ };{ok};0.3
25-Dec-24 4:30:00 AM WEST;{ };{ok};3.5
25-Dec-24 4:45:00 AM WEST;{ };{ok};0.3
25-Dec-24 5:00:01 AM WEST;{ };{ok};0.4
25-Dec-24 5:15:00 AM WEST;{ };{ok};0.3
25-Dec-24 5:30:01 AM WEST;{ };{ok};0.3
25-Dec-24 5:45:01 AM WEST;{ };{ok};3.4
25-Dec-24 6:00:00 AM WEST;{ };{ok};0.3
25-Dec-24 6:15:00 AM WEST;{ };{ok};3.4
25-Dec-24 6:30:01 AM WEST;{ };{ok};0.3
25-Dec-24 6:45:00 AM WEST;{ };{ok};0.3
25-Dec-24 7:00:01 AM WEST;{ };{ok};0.3
25-Dec-24 7:15:00 AM WEST;{ };{ok};0.3
25-Dec-24 7:30:01 AM WEST;{ };{ok};0.3
25-Dec-24 7:45:01 AM WEST;{ };{ok};3.4
25-Dec-24 8:00:01 AM WEST;{ };{ok};0.3
25-Dec-24 8:15:01 AM WEST;{ };{ok};0.3
25-Dec-24 8:30:01 AM WEST;{ };{ok};0.3
25-Dec-24 8:45:01 AM WEST;{ };{ok};0.3
25-Dec-24 9:00:01 AM WEST;{ };{ok};0.3
25-Dec-24 9:15:00 AM WEST;{ };{ok};3.2
25-Dec-24 9:30:01 AM WEST;{ };{ok};0.3
25-Dec-24 9:45:00 AM WEST;{ };{ok};3.4
25-Dec-24 10:00:00 AM WEST;{ };{ok};0.3
25-Dec-24 10:15:01 AM WEST;{ };{ok};3.5
25-Dec-24 10:30:00 AM WEST;{ };{ok};0.3
25-Dec-24 10:45:00 AM WEST;{ };{ok};3.6
25-Dec-24 11:00:00 AM WEST;{ };{ok};0.3
25-Dec-24 11:15:01 AM WEST;{ };{ok};0.3
25-Dec-24 11:30:01 AM WEST;{ };{ok};1.0
